0	STANZA.FOGLIO	TERMINAL.0
ADATTATORE-INSERITO	GENESI	STANZA.TICCHETTIO
DEFCON-BADGE.RUN	SCOPRI-DEFCON	TERMINAL.0
FROGGER	RANDOM:FROGGER.WIN@1|FROGGER.LOSE@9	TERMINAL.BASE
FROGGER.LOSE	RANDOM:FROGGER.WIN@1|FROGGER.LOSE@9	TERMINAL.BASE
FROGGER.MESSAGE
FROGGER.WIN	FROGGER.MESSAGE	TERMINAL.BASE
GENESI
HOMEBREW	0	HOMEBREW.APRI-LA-PORTA
HOMEBREW.APRI-LA-PORTA
NAUTILUS
SCOPRI-DEFCON
STANZA.COORDINATE	STANZA.VITE	TERMINAL.0
STANZA.DEFCON-BADGE	DEFCON-BADGE.RUN	HOMEBREW
STANZA.FOGLIO	STANZA.FOGLIO.RETRO	TERMINAL.0
STANZA.FOGLIO.RETRO	STANZA.COORDINATE	
STANZA.TICCHETTIO	TERMINAL.1	STANZA.DEFCON-BADGE
STANZA.VITE	ADATTATORE-INSERITO	TERMINAL.0
TERMINAL.0	TERMINAL.1	STANZA.FOGLIO
TERMINAL.1	TERMINAL.HELP	NAUTILUS
TERMINAL.BASE	TERMINAL.HELP	NAUTILUS
TERMINAL.HELP	FROGGER	NAUTILUS
